J         CT        CP        eta
0.150071  0.108832  0.044908  0.363689
0.191227  0.105766  0.045729  0.442287
0.231869  0.101311  0.046222  0.508219
0.273293  0.096060  0.046613  0.563207
0.312434  0.088451  0.045891  0.602197
0.348991  0.079089  0.043584  0.633287
0.388573  0.069606  0.040813  0.662693
0.427343  0.061516  0.038117  0.689685
0.465857  0.053540  0.035022  0.712185
0.508503  0.046598  0.032327  0.732986
0.558986  0.037224  0.028386  0.733039
0.589376  0.032488  0.026249  0.729441
0.636428  0.023282  0.021871  0.677490
0.666830  0.017467  0.019196  0.606750
0.712117  0.008349  0.014735  0.403499
0.758474 -0.000667  0.010114 -0.050026
0.789003 -0.006947  0.006535 -0.838793
