J         CT        CP        eta
0.113278  0.115180  0.045079  0.289429
0.134094  0.113900  0.045484  0.335797
0.158256  0.112145  0.045839  0.387167
0.184256  0.110267  0.046406  0.437819
0.207148  0.108681  0.046827  0.480773
0.233264  0.105913  0.047001  0.525646
0.256667  0.104298  0.047585  0.562575
0.280781  0.101601  0.047653  0.598659
0.305668  0.099300  0.048108  0.630924
0.330340  0.096046  0.048220  0.657979
0.355113  0.092000  0.047912  0.681890
0.379045  0.087692  0.047379  0.701561
0.402066  0.082258  0.046196  0.715933
0.427281  0.076668  0.044983  0.728254
0.448984  0.070012  0.042752  0.735258
0.473468  0.064109  0.040689  0.745989
