J         CT        CP        eta
0.333772  0.106314  0.052471  0.676275
0.354237  0.104017  0.052708  0.699079
0.374527  0.100992  0.052695  0.717796
0.394455  0.097756  0.052479  0.734774
0.415086  0.093814  0.051965  0.749375
0.435212  0.090029  0.051371  0.762727
0.454653  0.085678  0.050428  0.772457
0.474602  0.080257  0.048941  0.778283
0.493073  0.074640  0.047084  0.781645
0.511957  0.069299  0.045257  0.783918
0.531172  0.063927  0.043217  0.785710
0.553410  0.056769  0.040260  0.780332
0.570973  0.051732  0.038054  0.776190
0.593287  0.045779  0.035342  0.768481
0.613703  0.040500  0.032861  0.756364
0.632422  0.036504  0.031090  0.742554
0.651528  0.031834  0.028867  0.718493
0.674741  0.026538  0.026268  0.681673
0.693022  0.021903  0.023828  0.637018
0.711550  0.017790  0.021524  0.588127
0.733847  0.012090  0.018443  0.481061
0.752430  0.007563  0.015857  0.358891
0.771017  0.003409  0.013225  0.198772
0.792405 -0.001745  0.010104 -0.136844
