J         CT        CP        eta
0.500083  0.051826  0.034967  0.741193
0.529630  0.045740  0.032436  0.746882
0.560438  0.039775  0.029809  0.747823
0.591085  0.033894  0.027089  0.739588
0.618285  0.028149  0.024381  0.713856
0.651900  0.021867  0.021537  0.661909
0.680974  0.016637  0.019149  0.591678
0.710345  0.010839  0.016264  0.473417
0.740429  0.004856  0.013170  0.273062
0.770116 -0.001683  0.009479 -0.136718
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
0.772750 -0.001615  0.009592 -0.130085
