J         CT        CP        eta
0.112875  0.124811  0.049254  0.286032
0.131820  0.124400  0.049958  0.328246
0.152269  0.123387  0.050499  0.372051
0.171821  0.121770  0.050770  0.412113
0.193446  0.120237  0.051148  0.454748
0.212203  0.118625  0.051436  0.489397
0.232210  0.116741  0.051688  0.524466
0.253004  0.115655  0.052273  0.559777
0.274648  0.113355  0.052469  0.593367
0.295023  0.111026  0.052512  0.623771
0.314461  0.108675  0.052566  0.650122
0.333936  0.106272  0.052590  0.674815
0.354004  0.103631  0.052578  0.697740
0.375758  0.101344  0.052833  0.720783
0.395098  0.097832  0.052353  0.738325
